"k","v"
"Stun Threshold is based on {0}% of your Energy Shield instead of Life","暈眩門檻根據 {0}% 你的能量護盾，而非生命"
"Summoned Skitterbots have {0}% increased Cooldown Recovery","召喚探測機獸增加 {0}% 冷卻時間恢復"
"Summoned Skitterbots have {0}% reduced Cooldown Recovery","召喚探測機獸減少 {0}% 冷卻時間恢復"
"Temporal Chains has no Reservation if Cast as an Aura","若時空鎖鏈以光環施放沒有保留"
"Tornado deals Damage with {0}% increased Frequency","龍捲風增加 {0}% 造成傷害頻率"
"Tornado deals Damage with {0}% reduced Frequency","龍捲風減少 {0}% 造成傷害頻率"
"Tornado has {0}% increased initial Duration","龍捲風增加 {0}% 初始持續時間"
"Tornado has {0}% reduced initial Duration","龍捲風減少 {0}% 初始持續時間"
"Totems Taunt Enemies around them for {0} seconds when Summoned","圖騰被召喚時嘲諷它們附近的敵人 {0} 秒"
"Traps cannot be Damaged","陷阱不能被傷害"
"Every {1} seconds, take no Damage over Time for {0} second","每 {1} 秒，不受到持續傷害 {0} 秒"
"Every {1} seconds, take no Damage over Time for {0} seconds","每 {1} 秒，不受到持續傷害 {0} 秒"
"Monsters gain {0}% additional Physical Damage Reduction each time they are Revived","怪物每次復活時，獲得 {0}% 額外物理傷害減免"
"Monsters gain {0}% additional Resistances each time they are Revived","怪物每次復活時，增加 {0}% 抗性"
"Monsters gain {0}% increased Attack and Cast Speed each time they are Revived","怪物每次復活時，增加 {0}% 攻擊和施放速度"
"Monsters gain {0}% reduced Attack and Cast Speed each time they are Revived","怪物每次復活時，減少 {0}% 攻擊和施放速度"
"Monsters gain {0}% chance to Avoid being Stunned each time they are Revived","怪物每次復活時，{0}% 機率避免被暈眩"
"Monsters gain {0}% increased Critical Strike Chance each time they are Revived","怪物每次復活時，增加 {0}% 暴擊率"
"Monsters gain {0}% reduced Critical Strike Chance each time they are Revived","怪物每次復活時，減少 {0}% 暴擊率"
"Monsters gain {0}% additional Critical Strike Multiplier each time they are Revived","怪物每次復活時，增加 {0}% 暴擊加成"
"Monsters gain {0}% chance to deal Double Damage each time they are Revived","怪物每次復活時，{0}% 機率造成 2 倍傷害"
"Monsters Regenerate {0}% of Life per second for each time they have been Revived","怪物每次被復活時，每秒回復 {0}% 生命"
"Monsters gain {0}% increased Maximum Life each time they are Revived","怪物每次復活時，增加 {0}% 最大生命"
"Monsters gain {0}% reduced Maximum Life each time they are Revived","怪物每次復活時，減少 {0}% 最大生命"
"Monsters gain {0}% increased Movement Speed each time they are Revived","怪物每次復活時，增加 {0}% 移動速度"
"Monsters gain {0}% reduced Movement Speed each time they are Revived","怪物每次復活時，減少 {0}% 移動速度"
"Monsters Overwhelm {0}% of Physical Damage Reduction for each time they have been Revived","怪物每次被復活時，鎮壓 {0}% 物理傷害減免"
"Monsters Penetrate {0}% of Enemy Resistances for each time they have been Revived","怪物每次被復活時，穿透 {0}% 敵人抗性"
"Monsters gain {0}% increased Armour each time they are Revived","怪物每次復活時，增加 {0}% 護甲"
"Monsters gain {0}% reduced Armour each time they are Revived","怪物每次復活時，減少 {0}% 護甲"
"Monsters have {0}% increased chance of having Rewards","怪物增加 {0}% 有獎勵的機率"
"Monsters have {0}% reduced chance of having Rewards","怪物減少 {0}% 有獎勵的機率"
"{0}% more Flask Effect Duration","{0}% 更多藥劑效果持續時間"
"{0}% less Flask Effect Duration","{0}% 更少藥劑效果持續時間"
"Unnerve Enemies for {0} seconds on Hit with Wands","使用法杖擊中時，膽怯敵人 {0} 秒"
"Utility Flasks gain {0} Charge every {1} seconds","每 {1} 秒功能型藥劑回復 {0} 充能"
"Utility Flasks gain {0} Charges every {1} seconds","每 {1} 秒功能型藥劑回復 {0} 充能"
"Vitality has {0}% reduced Mana Reservation Efficiency","活力減少 {0}% 魔力保留效用"
"Vitality has {0}% increased Mana Reservation Efficiency","活力增加 {0}% 魔力保留效用"
"Vulnerability has no Reservation if Cast as an Aura","若脆弱以光環施放沒有保留"
"Wand Attacks fire an additional Projectile","法杖攻擊發射 1 個額外投射物"
"War Banner has {0}% increased Mana Reservation Efficiency","戰爭之旗增加 {0}% 魔力保留效用"
"War Banner has {0}% reduced Mana Reservation Efficiency","戰爭之旗減少 {0}% 魔力保留效用"
"Wrath has {0}% reduced Mana Reservation Efficiency","雷霆減少 {0}% 魔力保留效用"
"Wrath has {0}% increased Mana Reservation Efficiency","雷霆增加 {0}% 魔力保留效用"
"You are Cursed with Conductivity","你被導電詛咒"
"You are Cursed with Despair","你被絕望詛咒"
"You are Cursed with Elemental Weakness","你被元素要害詛咒"
"You are Cursed with Enfeeble","你被衰弱詛咒"
"You are Cursed with Flammability","你被易燃詛咒"
"You are Cursed with Frostbite","你被凍傷詛咒"
"You are Cursed with Temporal Chains","你被時空鎖鏈詛咒"
"You are Cursed with Vulnerability","你被脆弱詛咒"
"Cannot inflict Curses","不能造成詛咒"
"Your Movement Skills are Disabled","你的位移技能失效"
"Survival","存活"
"{0} to maximum Fortification while affected by Glorious Madness","被榮耀瘋癲影響時，{0} 最大護體"
"Zealotry has {0}% reduced Mana Reservation Efficiency","狂熱減少 {0}% 魔力保留效用"
"Zealotry has {0}% increased Mana Reservation Efficiency","狂熱增加 {0}% 魔力保留效用"
"Aggressive Defence","積極防禦"
"The Oppressor","壓迫者"
"During initial Duration, can be hit by your Projectiles up to {0} times","在初始持續時間內，最多可以被你的投射物擊中 {0} 次"
"{0}% increased initial Duration","增加 {0}% 初始持續時間"
"{0}% reduced initial Duration","減少 {0}% 初始持續時間"
"You and nearby allies have {0}% chance to Evade Attack Hits","你和附近友方 {0}% 閃避攻擊擊中率"
"Linked target has {0}% increased Stun Threshold","連結的目標增加 {0}% 暈眩門檻"
"Linked target has {0}% reduced Stun Threshold","連結的目標減少 {0}% 暈眩門檻"
"Linked target has {0}% increased Accuracy Rating","連結的目標增加 {0}% 命中值"
"Linked target has {0}% reduced Accuracy Rating","連結的目標減少 {0}% 命中值"
"Linked target has {0}% chance to Ignite","連結的目標有 {0}% 機率點燃"
"Linked target deals {0}% increased Damage when on Full Life","連結的目標滿血時，增加 {0}% 傷害"
"Linked target deals {0}% reduced Damage when on Full Life","連結的目標滿血時，減少 {0}% 傷害"
"Buff grants {0}% to Maximum total Life Recovery per second from Leech","增益效果 {0}% 來自偷取的每秒最大總生命恢復"
"Linked target has {0}% increased Mana Regeneration Rate","連結的目標增加 {0}% 魔力回復率"
"Linked target has {0}% reduced Mana Regeneration Rate","連結的目標減少 {0}% 魔力回復率"
"Gain Arcane Surge after Spending a total of {0} Mana on","在被輔助技能的前期消耗和效果的"
"Upfront Costs and Effects of a Supported Skill","總消耗 {0} 魔力時獲得秘能波動"
"{0}% chance to gain an Inspiration Charge when you Spend Mana on","你在被輔助技能的前期消耗和效果消耗魔力時，"
"Upfront Costs of Effects of Supported Skills","有 {0}% 機率獲得 1 顆啟發球"
"Gain an Inspiration Charge when you Spend Mana on Upfront","你在被輔助技能的前期消耗和效果消耗魔力時，"
"Costs or Effects of Supported Skills","獲得 1 顆啟發球"
"Gain Lifetap after Spending a total of {0} Life on Upfront","在被輔助技能的前期消耗和效果的"
"Costs and Effects of a Supported Skill","總消耗 {0} 生命時獲得活栓"
"Lose all Inspiration Charges after Spending a total of {0} Mana on Upfront Costs and Effects of Supported Skills","在被輔助技能的前期消耗和效果的總消耗 {0} 魔力時失去全部啟發球"
"{0}% chance to Defend with {1}% of Armour","{0}% 機率使用 {1}% 護甲防禦"
"{0}% more Effect of Curse","{0}% 更多詛咒效果"
"{0}% less Effect of Curse","{0}% 更少詛咒效果"
"Gain Arcane Surge after Spending a total of {0} Mana on Upfront Costs and Effects of this Spell","在此法術的前期消耗和效果的總消耗 {0} 魔力時獲得秘能波動"
"Buff grants {0}% increased Cooldown Recovery Rate","增益效果增加 {0}% 冷卻時間恢復率"
"Buff grants {0}% reduced Cooldown Recovery Rate","增益效果增加 {0}% 冷卻時間恢復率"
"Buff causes Debuffs on you to expire {0}% faster","增益效果使你身上的減益效果加速 {0}% 失效"
"Buff causes Debuffs on you to expire {0}% slower","增益效果使你身上的減益效果減緩 {0}% 失效"
"Hits on Ignited Enemies create Burning Ground, no more than once every {0} seconds","擊中被點燃的敵人時製造燃燒地面，每 {0} 秒不超過 1 次"
"Burning Ground deals {0}% of Fire Damage per second of Ignite affecting Enemy","燃燒地面每秒造成影響敵人點燃的 {0}% 火焰傷害"
"{0}% chance to gain an Inspiration Charge when you Spend Mana on Upfront Costs or Effects of this Skill","你在此技能的前期消耗或效果消耗魔力時，有 {0}% 機率獲得 1 顆啟發球"
"Gain an Inspiration Charge when you Spend Mana on Upfront Costs or Effects of this Skill","你在此技能的前期消耗或效果消耗魔力時，獲得 1 顆啟發球"
"Lose all Inspiration Charges after Spending {0} total Mana on Upfront Costs and Effects of this Skill","在此技能的前期消耗和效果的總消耗 {0} 魔力時失去全部啟發球"
"Gain Lifetap after Spending a total of {0} Life on Upfront Costs and Effects of this Skill","在此技能的前期消耗和效果的總消耗 {0} 生命時獲得活栓"
"Enemies in range are Hindered with {0}% reduced Movement Speed","範圍內敵人被阻礙減少 {0}% 移動速度"
"Trigger this Spell when Intuitive Link's target Hits an Enemy, from the target's location","當連結：直覺的目標擊中敵人時從目標的位置觸發此法術"
"Inflicts Withered for {0} seconds on Hit","擊中時造成凋零 {0} 秒"
"Socketed Support Gems can also Support Skills from your Body Armour","插槽中的輔助寶時同時輔助你胸甲的技能"
"Socketed Support Gems can also Support Skills from your Main Hand","插槽中的輔助寶時同時輔助你主手的技能"
"Socketed Gems have {0}% increased Effect of Exposure inflicted by Elemental Equilibrium","插槽中的寶石增加 {0}% 元素之相造成曝曬的效果"
"Socketed Gems have {0}% reduced Effect of Exposure inflicted by Elemental Equilibrium","插槽中的寶石減少 {0}% 元素之相造成曝曬的效果m"
"Grants Level {0} Herald of Agony Skill","獲得等級 {0} 的苦痛之捷技能"
"Grants Level {0} Herald of Purity Skill","獲得等級 {0} 的純淨之捷技能"
"Trigger Socketed Spells when you Spend at least {0} Mana on an","你在前期消耗使用或觸發技能至少 {0} 魔力時，"
"Upfront Cost to Use or Trigger a Skill, with a {0} second Cooldown","觸發插槽中的法術，有 {0} 秒冷卻"
"{0}% more Recovery if used while on Low Life","若使用時貧血，有 {0}% 更多回復"
"Recover an additional {0}% of Flask's Life Recovery Amount over {1} seconds if used while not on Full Life","若使用時非滿血，在 {1} 秒內回復額外 {0}% 藥劑的生命回復總量"
"{0}% increased Reflected Damage taken during Flask Effect","藥劑效果期間增加承受 {0}% 反射傷害"
"{0}% reduced Reflected Damage taken during Flask Effect","藥劑效果期間減少承受 {0}% 反射傷害"
"Non-Aura Vaal Skills require {0}% increased Souls Per Use during Effect","非光環瓦爾技能效果持續時間每次使用增加 {0}% 需要靈魂"
"Non-Aura Vaal Skills require {0}% reduced Souls Per Use during Effect","非光環瓦爾技能效果持續時間每次使用減少 {0}% 需要靈魂"
"Lose {0}% of Mana on Kill","擊殺時失去 {0}% 魔力"
"Your Hits cannot Stun Enemies","你的擊中不能暈眩敵人"
"{0}% reduced Life Recovery from Flasks","減少 {0}% 來自藥劑的生命回復"
"{0}% reduced Mana Recovery from Flasks","減少 {0}% 來自藥劑的魔力回復"
"Your Skills deal you {0}% of Mana Spent on Upfront Skill Mana Costs as Physical Damage","你的技能造成 {0}% 你魔力消耗在前期技能魔力消耗的物理傷害"
"Can have {0} fewer Remote Mine placed at a time","同時最多可以減少 {0} 個已放置的遙控地雷"
"Can have {0} fewer Remote Mines placed at a time","同時最多可以減少 {0} 個已放置的遙控地"
"{0}% chance to Suppress Spell Damage per Fortification","每層護體有 {0}% 壓抑法術傷害率"
"Side passages only contain Azurite Veins","測通道只包含碧藍礦脈"
"Side passages only contain Currency Chests","測通道只包含通貨保險箱"
"Side passages only contain Fossilised Remains","測通道只包含化石遺跡"
"Side passages only contain Resonator Chests","測通道只包含鑄新儀保險箱"
"Side passages contain {0}% more Azurite Veins","測通道包含 {0}% 更多碧藍礦脈"
"Side passages contain {0}% more Currency Chests","測通道包含 {0}% 更多通貨保險箱"
"Side passages contain {0}% more Fossilised Remains","測通道包含 {0}% 更多化石遺跡"
"Side passages contain {0}% more Resonator Chests","測通道包含 {0}% 更多鑄新儀保險箱"
"Nearby Allies have {0}% Chance to Block Attack Damage per {1} Strength you have","每 {1} 點你的力量，使附近友方有 {0}% 攻擊傷害格擋率"
"{0}% chance to Suppress Spell Damage if you've","若你近期有承受法術傷害，"
"Lose Blood from Blood Crucible {0}% faster","血腥匣盒失去鮮血加快 {0}%"
"Lose Blood from Blood Crucible {0}% slower","血腥匣盒失去鮮血減緩 {0}%"
"Gain Exposed to Corruption stacks twice as frequently","獲得曝曬於汙染疊層頻率為 2 倍"
"Lose {0} stack of Exposed to Corruption every {1} seconds","每 {1} 秒失去 {0} 層曝曬於汙染疊"
"Only shift into Nightmare on reaching maximum Blood","只有達到最大鮮血時會轉移至夢魘"
"Blood is not lost over time","鮮血不會隨著時間流失"
"Lose {0}% of Blood on Killing a Scourge Monster","擊殺災魘怪物時失去 {0}% 鮮血"
