Absolution,면죄
"Frost Bomb (Disabled) (Forced Active) (FullDPS)","^7서리 폭탄 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Frost Wall (Disabled) (Forced Active) (FullDPS)","^7서리 방벽 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Frostblink (Disabled) (Forced Active) (FullDPS)","^7서리점멸 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Summon Holy Relic (Disabled) (Forced Active) (FullDPS)","^7신성한 유물 소환 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Orb of Storms (Disabled) (Forced Active) (FullDPS)","^7폭풍 보주 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Summon Raging Spirit (Disabled) (Forced Active) (FullDPS)","^7격노의 유령 소환 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Bodyswap (Disabled) (Forced Active) (FullDPS)","^7신체 전환 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Clarity (Disabled) (Forced Active) (FullDPS)","^7명상 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Flame Dash (Disabled) (Forced Active) (FullDPS)","^7화염 질주 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Siphoning Trap (Disabled) (Forced Active) (FullDPS)","^7착취 덫 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Lightning Warp (Disabled) (Forced Active) (FullDPS)","^7번개 차원 이동 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Summon Skeletons (Disabled) (Forced Active) (FullDPS)","^7해골 소환 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Vaal Clarity (Disabled) (Forced Active) (FullDPS)","^7바알 명상 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Vaal Lightning Warp (Disabled) (Forced Active) (FullDPS)","^7바알 번개 차원 이동 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Vaal Summon Skeletons (Disabled) (Forced Active) (FullDPS)","^7바알 해골 소환 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Wither (Disabled) (Forced Active) (FullDPS)","^7위축 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Arc (Disabled) (Forced Active) (FullDPS)","^7연쇄 번개 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Creeping Frost (Disabled) (Forced Active) (FullDPS)","^7엄습하는 서리 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Bone Offering (Disabled) (Forced Active) (FullDPS)","^7뼈 공물 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Storm Brand (Disabled) (Forced Active) (FullDPS)","^7폭풍의 낙인 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Icicle Mine (Disabled) (Forced Active) (FullDPS)","^7고드름 지뢰 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Blazing Salvo (Disabled) (Forced Active) (FullDPS)","^7맹렬한 포격 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Scorching Ray (Disabled) (Forced Active) (FullDPS)","^7작열 광선 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Incinerate (Disabled) (Forced Active) (FullDPS)","^7소각 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Flame Surge (Disabled) (Forced Active) (FullDPS)","^7화염 쇄도 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Flesh Offering (Disabled) (Forced Active) (FullDPS)","^7살점 공물 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Ice Nova (Disabled) (Forced Active) (FullDPS)","^7얼음 폭발 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Ice Spear (Disabled) (Forced Active) (FullDPS)","^7얼음 창 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Lightning Trap (Disabled) (Forced Active) (FullDPS)","^7번개 덫 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Manabond (Disabled) (Forced Active) (FullDPS)","^7마나 결속 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Power Siphon (Disabled) (Forced Active) (FullDPS)","^7권능 착취 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Essence Drain (Disabled) (Forced Active) (FullDPS)","^7정수 흡수 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Spirit Offering (Disabled) (Forced Active) (FullDPS)","^7영혼 공물 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Storm Burst (Disabled) (Forced Active) (FullDPS)","^7폭풍 점사 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Storm Call (Disabled) (Forced Active) (FullDPS)","^7폭풍 부름 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Vaal Arc (Disabled) (Forced Active) (FullDPS)","^7바알 연쇄 번개 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Vaal Ice Nova (Disabled) (Forced Active) (FullDPS)","^7바알 얼음 폭발 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Vaal Lightning Trap (Disabled) (Forced Active) (FullDPS)","^7바알 번개 덫 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Vaal Storm Call (Disabled) (Forced Active) (FullDPS)","^7바알 폭풍 부름 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Vaal Power Siphon (Disabled) (Forced Active) (FullDPS)","^7바알 권능 착취 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Voltaxic Burst (Disabled) (Forced Active) (FullDPS)","^7전도성 격발 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Wintertide Brand (Disabled) (Forced Active) (FullDPS)","^7겨울의 낙인 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Assassin's Mark (Disabled) (Forced Active) (FullDPS)","^7암살자의 징표 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Arcane Cloak (Disabled) (Forced Active) (FullDPS)","^7비전의 망토 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Cold Snap (Disabled) (Forced Active) (FullDPS)","^7한파 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Galvanic Field (Disabled) (Forced Active) (FullDPS)","^7충격장 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Herald of Thunder (Disabled) (Forced Active) (FullDPS)","^7천둥의 전령 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Wave of Conviction (Disabled) (Forced Active) (FullDPS)","^7신념의 파도 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Brand Recall (Disabled) (Forced Active) (FullDPS)","^7낙인 소환 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Righteous Fire (Disabled) (Forced Active) (FullDPS)","^7정의의 화염 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Summon Skitterbots (Disabled) (Forced Active) (FullDPS)","^7원격 기폭 장치 소환 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Forbidden Rite (Disabled) (Forced Active) (FullDPS)","^7금단의 의식 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Tempest Shield (Disabled) (Forced Active) (FullDPS)","^7폭풍의 방패 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Vaal Cold Snap (Disabled) (Forced Active) (FullDPS)","^7바알 한파 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Vaal Righteous Fire (Disabled) (Forced Active) (FullDPS)","^7바알 정의의 화염 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Convocation (Disabled) (Forced Active) (FullDPS)","^7소집 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Conductivity (Disabled) (Forced Active) (FullDPS)","^7전도성 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Bane (Disabled) (Forced Active) (FullDPS)","^7파멸 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Malevolence (Disabled) (Forced Active) (FullDPS)","^7악의 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Despair (Disabled) (Forced Active) (FullDPS)","^7절망 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Discipline (Disabled) (Forced Active) (FullDPS)","^7단련 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Elemental Weakness (Disabled) (Forced Active) (FullDPS)","^7원소 약화 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Enfeeble (Disabled) (Forced Active) (FullDPS)","^7쇠약화 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Flammability (Disabled) (Forced Active) (FullDPS)","^7인화성 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Frostbite (Disabled) (Forced Active) (FullDPS)","^7동상 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Purity of Lightning (Disabled) (Forced Active) (FullDPS)","^7번개의 순수함 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Purity of Elements (Disabled) (Forced Active) (FullDPS)","^7원소의 순수함 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Zealotry (Disabled) (Forced Active) (FullDPS)","^7열광 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Spellslinger (Disabled) (Forced Active) (FullDPS)","^7주문투척 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Energy Blade (Disabled) (Forced Active) (FullDPS)","^7에너지 칼날 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Vaal Discipline (Disabled) (Forced Active) (FullDPS)","^7바알 단련 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Vaal Impurity of Lightning (Disabled) (Forced Active) (FullDPS)","^7바알 번개의 부정함 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Wrath (Disabled) (Forced Active) (FullDPS)","^7진노 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Vaal Firestorm (Disabled) (Forced Active) (FullDPS)","^7바알 화염 폭풍 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Armageddon Brand (Disabled) (Forced Active) (FullDPS)","^7종말의 낙인 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Ball Lightning (Disabled) (Forced Active) (FullDPS)","^7구형 번개 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Flameblast (Disabled) (Forced Active) (FullDPS)","^7화염파 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Kinetic Blast (Disabled) (Forced Active) (FullDPS)","^7역학 폭발 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Discharge (Disabled) (Forced Active) (FullDPS)","^7방출 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Crackling Lance (Disabled) (Forced Active) (FullDPS)","^7치직대는 창 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Divine Ire (Disabled) (Forced Active) (FullDPS)","^7신성한 진노 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Hexblast (Disabled) (Forced Active) (FullDPS)","^7사술 폭발 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Lightning Conduit (Disabled) (Forced Active) (FullDPS)","^7번개 도관 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Pyroclast Mine (Disabled) (Forced Active) (FullDPS)","^7화산탄 지뢰 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Firestorm (Disabled) (Forced Active) (FullDPS)","^7화염 폭풍 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Eye of Winter (Disabled) (Forced Active) (FullDPS)","^7겨울의 눈 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Winter Orb (Disabled) (Forced Active) (FullDPS)","^7겨울 보주 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Vortex (Disabled) (Forced Active) (FullDPS)","^7소용돌이 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Lightning Spire Trap (Disabled) (Forced Active) (FullDPS)","^7번개 첨탑 덫 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Penance Brand (Disabled) (Forced Active) (FullDPS)","^7속죄의 낙인 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Raise Spectre (Disabled) (Forced Active) (FullDPS)","^7망령 소환 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Dark Pact (Disabled) (Forced Active) (FullDPS)","^7어둠의 서약 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Shock Nova (Disabled) (Forced Active) (FullDPS)","^7충격 폭발 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Soulrend (Disabled) (Forced Active) (FullDPS)","^7영혼 분리 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Stormbind (Disabled) (Forced Active) (FullDPS)","^7폭풍 연대 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Summon Reaper (Disabled) (Forced Active) (FullDPS)","^7수확자 소환 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Glacial Cascade (Disabled) (Forced Active) (FullDPS)","^7빙하 폭포 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Vaal Flameblast (Disabled) (Forced Active) (FullDPS)","^7바알 화염파 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Void Sphere (Disabled) (Forced Active) (FullDPS)","^7공허 구체 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Summon Chaos Golem (Disabled) (Forced Active) (FullDPS)","^7카오스 골렘 소환 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Sigil of Power (Disabled) (Forced Active) (FullDPS)","^7힘의 부적 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Destructive Link (Disabled) (Forced Active) (FullDPS)","^7파괴의 연결 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Frost Shield (Disabled) (Forced Active) (FullDPS)","^7서리 방패 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Hydrosphere (Disabled) (Forced Active) (FullDPS)","^7물의 구체 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Summon Lightning Golem (Disabled) (Forced Active) (FullDPS)","^7번개 골렘 소환 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Soul Link (Disabled) (Forced Active) (FullDPS)","^7영혼의 연결 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Summon Carrion Golem (Disabled) (Forced Active) (FullDPS)","^7부패 골렘 소환 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Arcanist Brand (Disabled) (Forced Active) (FullDPS)","^7신비학자 낙인 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Arcanist Brand Support","신비학자의 낙인 보조"
"(No active skills) (Disabled) (Forced Active)","^7(활성 스킬 없음) ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"(No active skills) (Active) (FullDPS)","^7(활성 스킬 없음) ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Abberath's Fury","아버라스의 광분"
"Absolution of Inspiring","격려의 면죄"
"Abyssal Cry","심연의 함성"
Affliction,고난
"Ancestral Blademaster","선대의 검귀"
"Animate Guardian of Smiting","징벌의 수호자 기동"
"Animate Guardian's Weapon","움직이는 수호자의 무기"
"Animate Weapon of Ranged Arms","원거리 병기의 무기 기동"
"Animate Weapon of Self Reflection","자기 반사의 무기 기동"
"Approaching Flames","다가가는 화염"
"Arc of Oscillating","뇌동의 연쇄 번개"
"Arc of Surging","쇄도의 연쇄 번개"
"Arcane Wake","비전의 각성"
"Armageddon Brand of Recall","소환의 종말의 낙인"
"Armageddon Brand of Volatility","일촉즉발의 종말의 낙인"
"Artillery Ballista of Cross Strafe","십자 포화의 포대 쇠뇌"
"Artillery Ballista of Focus Fire","집중 사격의 포대 쇠뇌"
"Aspect of the Avian","새의 위상"
"Aspect of the Cat","고양이의 위상"
"Aspect of the Crab","게의 위상"
"Aspect of the Spider","거미의 위상"
"Assume Disguise",위장
"Atlas Riftwalk","아틀라스 균열 걷기"
Autoexertion,"자동 전력"
Automation,자동화
"Avenging Flame","복수의 화염"
Backstab,"배후 공격"
"Ball Lightning of Orbiting","공전의 구형 번개"
"Ball Lightning of Static","정전기의 구형 번개"
"Bane of Condemnation","규탄의 파멸"
Barkskin,껍질피부
"Barrage of Volley Fire","일제 포격의 연발 사격"
"Barrel Explosion","통 폭발"
"Bear Trap of Skewers","꼬챙이의 곰 덫"
"Blade Blast of Dagger Detonation","단검 폭파의 칼날 폭격"
"Blade Blast of Unloading","난사의 칼날 폭격"
"Blade Flurry of Incision","절개의 질풍의 칼날"
"Blade Trap of Greatswords","대검의 칼날 덫"
"Blade Trap of Laceration","열상의 칼날 덫"
"Blade Vortex of the Scythe","낫의 칼날 소용돌이"
"Bladefall of Impaling","꿰뚫기의 칼날비"
"Bladefall of Volleys","사격 공세의 칼날비"
"Bladestorm of Uncertainty","불확실성의 칼날 폭풍"
"Bleed Nova","출혈 폭발"
"Blight of Atrophy","위축의 황폐"
"Blight of Contagion","전염의 황폐"
"Blinding Aura","실명의 오라"
"Blink Arrow of Bombarding Clones","포격 분신의 점멸 화살"
"Blink Arrow of Prismatic Clones","분광 분신의 점멸 화살"
"Blood Offering","피의 공물"
"Blood Sacrament","피 성체"
"Bodyswap of Sacrifice","희생의 신체 전환"
"Bone Armour","뼈 갑옷"
"Bone Corpses","뼈 시신"
"Bone Mortar","뼈 박격포"
"Bone Nova","뼈 폭발"
"Boneshatter of Carnage","살육의 뼈 박살"
"Boneshatter of Complex Trauma","복합 외상의 뼈 박살"
Brandsurge,"낙인 쇄도"
"Burning Arrow of Vigour","활력의 불타는 화살"
"Call of Steel","강철의 부름"
"Capture Monster","몬스터 포획"
"Caustic Arrow of Poison","독의 부식성 화살"
"Cleave of Rage","격노의 회전베기"
"Cold Aegis","냉기의 비호"
"Cold Snap of Power","권능의 한파"
Combust,발화
"Commandment of Blades","칼날의 율령"
"Commandment of Flames","화염의 율령"
"Commandment of Force","힘의 율령"
"Commandment of Frost","서리의 율령"
"Commandment of Fury","광분의 율령"
"Commandment of Inferno","지옥불의 율령"
"Commandment of Ire","노여움의 율령"
"Commandment of Light","빛의 율령"
"Commandment of Reflection","투영의 율령"
"Commandment of Spite","원한의 율령"
"Commandment of the Grave","무덤의 율령"
"Commandment of the Tempest","폭풍의 율령"
"Commandment of Thunder","천둥의 율령"
"Commandment of War","전쟁의 율령"
"Commandment of Winter","겨울의 율령"
Consecrate,신성화
"Consecrated Path of Endurance","인내의 축성의 진격"
"Consume Bones","뼈 소모"
"Contagion of Subsiding","침하의 전염"
"Contagion of Transference","전이의 전염"
Contaminate,오염
"Corpse Walk","시체 보행"
"Crackling Lance of Branching","파생의 치직대는 창"
"Crackling Lance of Disintegration","분해의 치직대는 창"
"Create Lesser Shrine","하위 성소 창조"
"Cremation of Exhuming","발굴의 시체 소각"
"Cremation of the Volcano","화산의 시체 소각"
"Crushing Fist","타쇄하는 주먹"
"Curse Consume","저주 소모"
"Curse Transfer","저주 전이"
"Cyclone of Tumult","소동의 회오리바람"
"Damage Infusion","피해 주입"
"Damage On Movement Skill Use Aura","이동 스킬 사용 시 피해의 오라"
"Darktongue's Kiss","다크텅의 입맞춤"
"Death Aura","죽음의 오라"
"Death Walk","죽음의 발걸음"
"Death Wish","죽음 동경"
"Decree of Blades","칼날의 법령"
"Decree of Flames","화염의 법령"
"Decree of Force","힘의 법령"
"Decree of Frost","서리의 법령"
"Decree of Fury","광분의 법령"
"Decree of Inferno","지옥불의 법령"
"Decree of Ire","노여움의 법령"
"Decree of Light","빛의 법령"
"Decree of Reflection","투영의 법령"
"Decree of Spite","원한의 법령"
"Decree of the Grave","무덤의 법령"
"Decree of the Tempest","폭풍의 법령"
"Decree of Thunder","천둥의 법령"
"Decree of War","전쟁의 법령"
"Decree of Winter","겨울의 법령"
"Default Attack","기본 공격"
"Detonate Dead of Chain Reaction","연쇄 반응의 시체 폭발"
"Detonate Dead of Scavenging","청소부의 시체 폭발"
"Direct Ants","개미 이동"
"Discharge of Misery","비참의 방출"
"Divine Ire of Disintegration","분해의 신성한 진노"
"Divine Ire of Holy Lightning","상서로운 번개의 신성한 진노"
"Divine Retribution","신성한 응징"
"Dominating Blow of Inspiring","격려의 지배의 맹타"
"Doom Arrow","멸망의 화살"
"Doom Blast","멸망 폭발"
"Doryani's Touch","도리아니의 손길"
"Double Strike of Impaling","꿰뚫기의 이중 타격"
"Double Strike of Momentum","기세의 이중 타격"
"Dual Strike of Ambidexterity","양손잡이의 쌍수 타격"
"Earthquake of Amplification","증폭의 지진"
"Earthshatter of Fragility","허약의 지면 분쇄"
"Earthshatter of Prominence","출중의 지면 분쇄"
"Edict of Blades","칼날의 칙령"
"Edict of Flames","화염의 칙령"
"Edict of Force","힘의 칙령"
"Edict of Frost","서리의 칙령"
"Edict of Fury","광분의 칙령"
"Edict of Inferno","지옥불의 칙령"
"Edict of Ire","노여움의 칙령"
"Edict of Light","빛의 칙령"
"Edict of Reflection","투영의 칙령"
"Edict of Spite","원한의 칙령"
"Edict of the Grave","무덤의 칙령"
"Edict of the Tempest","폭풍의 칙령"
"Edict of Thunder","천둥의 칙령"
"Edict of War","전쟁의 칙령"
"Edict of Winter","겨울의 칙령"
"Elemental Aegis","원소의 비호"
"Elemental Hit of the Spectrum","파장의 원소의 일격"
