"Absolution of Inspiring","격려의 면죄"
"Divine Ire of Holy Lightning (Disabled) (Forced Active) (FullDPS)","^7상서로운 번개의 신성한 진노 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Dominating Blow of Inspiring (Disabled) (Forced Active) (FullDPS)","^7격려의 지배의 맹타 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Double Strike of Impaling (Disabled) (Forced Active) (FullDPS)","^7꿰뚫기의 이중 타격 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Double Strike of Momentum (Disabled) (Forced Active) (FullDPS)","^7기세의 이중 타격 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Dual Strike of Ambidexterity (Disabled) (Forced Active) (FullDPS)","^7양손잡이의 쌍수 타격 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Earthquake of Amplification (Disabled) (Forced Active) (FullDPS)","^7증폭의 지진 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Earthshatter of Fragility (Disabled) (Forced Active) (FullDPS)","^7허약의 지면 분쇄 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Earthshatter of Prominence (Disabled) (Forced Active) (FullDPS)","^7출중의 지면 분쇄 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Essence Drain of Desperation (Disabled) (Forced Active) (FullDPS)","^7필사의 정수 흡수 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Essence Drain of Wickedness (Disabled) (Forced Active) (FullDPS)","^7사악함의 정수 흡수 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Ethereal Knives of Lingering Blades (Disabled) (Forced Active) (FullDPS)","^7지속되는 칼날의 천상의 단도 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Ethereal Knives of the Massacre (Disabled) (Forced Active) (FullDPS)","^7도륙의 천상의 단도 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Explosive Concoction of Destruction (Disabled) (Forced Active) (FullDPS)","^7파괴의 폭발성 혼합물 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Explosive Trap of Magnitude (Disabled) (Forced Active) (FullDPS)","^7규모의 폭발 덫 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Explosive Trap of Shrapnel (Disabled) (Forced Active) (FullDPS)","^7파편의 폭발 덫 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Exsanguinate of Transmission (Disabled) (Forced Active) (FullDPS)","^7전송의 방혈 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Eye of Winter of Finality (Disabled) (Forced Active) (FullDPS)","^7종극의 겨울의 눈 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Eye of Winter of Transience (Disabled) (Forced Active) (FullDPS)","^7덧없음의 겨울의 눈 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Fire Trap of Blasting (Disabled) (Forced Active) (FullDPS)","^7폭발의 화염 덫 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Firestorm of Meteors (Disabled) (Forced Active) (FullDPS)","^7유성의 화염 폭풍 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Firestorm of Pelting (Disabled) (Forced Active) (FullDPS)","^7퍼부음의 화염 폭풍 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Flame Dash of Incinerating (Disabled) (Forced Active) (FullDPS)","^7소각의 화염 질주 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Flame Dash of Return (Disabled) (Forced Active) (FullDPS)","^7귀환의 화염 질주 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Flame Surge of Combusting (Disabled) (Forced Active) (FullDPS)","^7발화의 화염 쇄도 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Flameblast of Celerity (Disabled) (Forced Active) (FullDPS)","^7민첩함의 화염파 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Flameblast of Contraction (Disabled) (Forced Active) (FullDPS)","^7수축의 화염파 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Flicker Strike of Power (Disabled) (Forced Active) (FullDPS)","^7권능의 점멸 타격 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Forbidden Rite of Soul Sacrifice (Disabled) (Forced Active) (FullDPS)","^7영혼 희생의 금단의 의식 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Frenzy of Onslaught (Disabled) (Forced Active) (FullDPS)","^7맹공의 격분 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Frost Blades of Katabasis (Disabled) (Forced Active) (FullDPS)","^7퇴각의 서리 칼날 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Frost Bomb of Forthcoming (Disabled) (Forced Active) (FullDPS)","^7임박의 서리 폭탄 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Frost Bomb of Instability (Disabled) (Forced Active) (FullDPS)","^7불안정의 서리 폭탄 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Frostblink of Wintry Blast (Disabled) (Forced Active) (FullDPS)","^7차가운 폭발의 서리점멸 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Frozen Legion of Rallying (Disabled) (Forced Active) (FullDPS)","^7재집결의 얼어붙은 군단 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Galvanic Arrow of Energy (Disabled) (Forced Active) (FullDPS)","^7에너지의 충격 화살 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Galvanic Arrow of Surging (Disabled) (Forced Active) (FullDPS)","^7쇄도의 충격 화살 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Galvanic Field of Intensity (Disabled) (Forced Active) (FullDPS)","^7격렬함의 충격장 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Glacial Cascade of the Fissure (Disabled) (Forced Active) (FullDPS)","^7균열의 빙하 폭포 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Glacial Hammer of Shattering (Disabled) (Forced Active) (FullDPS)","^7산산조각의 빙하 망치 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Ground Slam of Earthshaking (Disabled) (Forced Active) (FullDPS)","^7지동의 대지 강타 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Hexblast of Contradiction (Disabled) (Forced Active) (FullDPS)","^7상반의 사술폭발 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Hexblast of Havoc (Disabled) (Forced Active) (FullDPS)","^7혼란의 사술폭발 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Holy Flame Totem of Ire (Disabled) (Forced Active) (FullDPS)","^7노여움의 신성한 화염 토템 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Ice Crash of Cadence (Disabled) (Forced Active) (FullDPS)","^7운율의 얼음 충격 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Ice Nova of Deep Freeze (Disabled) (Forced Active) (FullDPS)","^7결빙의 얼음 폭발 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Ice Nova of Frostbolts (Disabled) (Forced Active) (FullDPS)","^7서리 구체의 얼음 폭발 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Ice Spear of Splitting (Disabled) (Forced Active) (FullDPS)","^7분할의 얼음 창 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Ice Trap of Hollowness (Disabled) (Forced Active) (FullDPS)","^7무상의 얼음 덫 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Icicle Mine of Fanning (Disabled) (Forced Active) (FullDPS)","^7퍼짐의 고드름 지뢰 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Icicle Mine of Sabotage (Disabled) (Forced Active) (FullDPS)","^7방해 공작의 고드름 지뢰 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Infernal Blow of Immolation (Disabled) (Forced Active) (FullDPS)","^7제물의 지옥불 맹타 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Kinetic Bolt of Fragmentation (Disabled) (Forced Active) (FullDPS)","^7파쇄의 역학 투사체 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Lacerate of Butchering (Disabled) (Forced Active) (FullDPS)","^7도살의 피부 찢기 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Lacerate of Haemorrhage (Disabled) (Forced Active) (FullDPS)","^7실혈의 피부 찢기 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Lancing Steel of Spraying (Disabled) (Forced Active) (FullDPS)","^7분사의 강철 관통 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Leap Slam of Groundbreaking (Disabled) (Forced Active) (FullDPS)","^7땅 분쇄의 도약 강타 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Lightning Arrow of Electrocution (Disabled) (Forced Active) (FullDPS)","^7전기 처형의 번개 화살 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Lightning Conduit of the Heavens (Disabled) (Forced Active) (FullDPS)","^7천국의 번개 도관 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Lightning Spire Trap of Overloading (Disabled) (Forced Active) (FullDPS)","^7과부하의 번개 첨탑 덫 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Lightning Spire Trap of Zapping (Disabled) (Forced Active) (FullDPS)","^7전류의 번개 첨탑 덫 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Lightning Strike of Arcing (Disabled) (Forced Active) (FullDPS)","^7전호의 번개 타격 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Lightning Tendrils of Eccentricity (Disabled) (Forced Active) (FullDPS)","^7기행의 덩굴 번개 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Lightning Tendrils of Escalation (Disabled) (Forced Active) (FullDPS)","^7격화의 덩굴 번개 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Lightning Trap of Sparking (Disabled) (Forced Active) (FullDPS)","^7전기불꽃의 번개 덫 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Mirror Arrow of Bombarding Clones (Disabled) (Forced Active) (FullDPS)","^7포격 분신의 거울 화살 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Mirror Arrow of Prismatic Clones (Disabled) (Forced Active) (FullDPS)","^7분광 분신의 거울 화살 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Molten Strike of the Zenith (Disabled) (Forced Active) (FullDPS)","^7북극성의 용암 타격 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Pacify (Disabled) (Forced Active) (FullDPS)","^7진정 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Penance Brand of Conduction (Disabled) (Forced Active) (FullDPS)","^7전도의 속죄의 낙인 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Penance Brand of Dissipation (Disabled) (Forced Active) (FullDPS)","^7소실의 속죄의 낙인 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Penance Mark (Disabled) (Forced Active) (FullDPS)","^7속죄의 징표 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Perforate of Bloodshed (Disabled) (Forced Active) (FullDPS)","^7유혈의 천공 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Perforate of Duality (Disabled) (Forced Active) (FullDPS)","^7이중성의 천공 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Power Siphon of the Archmage (Disabled) (Forced Active) (FullDPS)","^7대마법사의 권능 착취 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Purifying Flame of Revelations (Disabled) (Forced Active) (FullDPS)","^7계시의 정화의 불길 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Pyroclast Mine of Sabotage (Disabled) (Forced Active) (FullDPS)","^7방해 공작의 화산탄 지뢰 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Rage Vortex of Berserking (Disabled) (Forced Active) (FullDPS)","^7광폭화의 격노 소용돌이 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Rain of Arrows of Artillery (Disabled) (Forced Active) (FullDPS)","^7포대의 화살비 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Rain of Arrows of Saturation (Disabled) (Forced Active) (FullDPS)","^7포화의 화살비 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Raise Spectre of Transience (Disabled) (Forced Active) (FullDPS)","^7덧없음의 망령 소환 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Raise Zombie of Falling (Disabled) (Forced Active) (FullDPS)","^7추락의 좀비 소환 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Raise Zombie of Slamming (Disabled) (Forced Active) (FullDPS)","^7강타의 좀비 소환 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Ravenous (Disabled) (Forced Active) (FullDPS)","^7굶주림 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Reave of Refraction (Disabled) (Forced Active) (FullDPS)","^7굴절의 약탈 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Righteous Fire of Arcane Devotion (Disabled) (Forced Active) (FullDPS)","^7비전 헌신의 정의의 화염 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Rune Blast of Teleportation (Disabled) (Forced Active) (FullDPS)","^7순간이동의 룬 폭발 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Scorching Ray of Immolation (Disabled) (Forced Active) (FullDPS)","^7제물의 작열 광선 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Scourge Arrow of Menace (Disabled) (Forced Active) (FullDPS)","^7위험의 재앙의 화살 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Seismic Trap of Swells (Disabled) (Forced Active) (FullDPS)","^7팽창의 지진 덫 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Shattering Steel of Ammunition (Disabled) (Forced Active) (FullDPS)","^7탄약의 강철 파편 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Shield Crush of the Chieftain (Disabled) (Forced Active) (FullDPS)","^7부족장의 방패 타쇄 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Shrapnel Ballista of Steel (Disabled) (Forced Active) (FullDPS)","^7강철의 파편 쇠뇌 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Siege Ballista of Splintering (Disabled) (Forced Active) (FullDPS)","^7파편의 공성 쇠뇌 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Smite of Divine Judgement (Disabled) (Forced Active) (FullDPS)","^7신성한 심판의 징벌 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Soulrend of Reaping (Disabled) (Forced Active) (FullDPS)","^7낫질의 영혼 분리 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Soulrend of the Spiral (Disabled) (Forced Active) (FullDPS)","^7나선의 영혼 분리 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Spark of Unpredictability (Disabled) (Forced Active) (FullDPS)","^7예측 불허의 전기불꽃 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Spark of the Nova (Disabled) (Forced Active) (FullDPS)","^7폭발의 전기불꽃 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Spectral Shield Throw of Shattering (Disabled) (Forced Active) (FullDPS)","^7산산조각의 환영 방패 투척 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Spectral Throw of Materialising (Disabled) (Forced Active) (FullDPS)","^7구체화의 환영 무기 투척 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Split Arrow of Splitting (Disabled) (Forced Active) (FullDPS)","^7분할의 분할 화살 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Splitting Steel of Ammunition (Disabled) (Forced Active) (FullDPS)","^7탄약의 강철 분할 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Spray Paint Blood (Disabled) (Forced Active) (FullDPS)","^7핏빛 물감 뿌리기 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Spray Paint Celestial (Disabled) (Forced Active) (FullDPS)","^7천공의 물감 뿌리기 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Spray Paint Magmatic (Disabled) (Forced Active) (FullDPS)","^7마그마 물감 뿌리기 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Storm Brand of Indecision (Disabled) (Forced Active) (FullDPS)","^7우유부단의 폭풍의 낙인 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Storm Rain of the Conduit (Disabled) (Forced Active) (FullDPS)","^7도관의 폭풍우 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Storm Rain of the Fence (Disabled) (Forced Active) (FullDPS)","^7울타리의 폭풍우 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Stormbind of Teleportation (Disabled) (Forced Active) (FullDPS)","^7순간이동의 폭풍 연대 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Summon Carrion Golem of Hordes (Disabled) (Forced Active) (FullDPS)","^7군단의 부패 골렘 소환 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Summon Carrion Golem of Scavenging (Disabled) (Forced Active) (FullDPS)","^7청소부의 부패 골렘 소환 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Summon Chaos Golem of Hordes (Disabled) (Forced Active) (FullDPS)","^7군단의 카오스 골렘 소환 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Summon Chaos Golem of the Maelström (Disabled) (Forced Active) (FullDPS)","^7마엘스트롬의 카오스 골렘 소환 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Summon Dark Effigy (Disabled) (Forced Active) (FullDPS)","^7어둠의 제웅 소환 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Summon Flame Golem of Hordes (Disabled) (Forced Active) (FullDPS)","^7군단의 화염 골렘 소환 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Summon Flame Golem of the Meteor (Disabled) (Forced Active) (FullDPS)","^7유성의 화염 골렘 소환 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Summon Ice Golem of Hordes (Disabled) (Forced Active) (FullDPS)","^7군단의 얼음 골렘 소환 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Summon Ice Golem of Shattering (Disabled) (Forced Active) (FullDPS)","^7산산조각의 얼음 골렘 소환 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Summon Lightning Golem of Hordes (Disabled) (Forced Active) (FullDPS)","^7군단의 번개 골렘 소환 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Summon Raging Spirit of Enormity (Disabled) (Forced Active) (FullDPS)","^7극악무도의 격노의 유령 소환 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Summon Reaper of Eviscerating (Disabled) (Forced Active) (FullDPS)","^7적출의 수확자 소환 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
